SKU,Date,Forecasted_Demand,Remaining_Inventory,Stockout,Reorder_Triggered
p1,2023-07-01,6.672187084,23.327812916,False,True
p1,2023-07-01,6.672187084,16.655625832,False,True
p1,2023-07-01,6.672187084,9.983438747999998,False,True
p1,2023-07-02,8.529828784,1.4536099639999982,False,True
p1,2023-07-02,8.529828784,0.0,True,True
p1,2023-07-02,8.529828784,0.0,True,True
p1,2023-07-03,7.952553216,0.0,True,True
p1,2023-07-03,7.952553216,0.0,True,True
p1,2023-07-03,7.952553216,0.0,True,True
p1,2023-07-04,8.802050029,0.0,True,True
p1,2023-07-04,8.802050029,0.0,True,True
p1,2023-07-04,8.802050029,0.0,True,True
p1,2023-07-05,8.76222911,0.0,True,True
p1,2023-07-05,8.76222911,0.0,True,True
p1,2023-07-05,8.76222911,0.0,True,True
p1,2023-07-06,8.64681011,95.672187084,True,False
p1,2023-07-06,8.64681011,87.025376974,False,False
p1,2023-07-06,8.64681011,78.37856686399999,False,False
p1,2023-07-07,9.301138854,69.07742800999999,False,False
p1,2023-07-07,9.301138854,59.77628915599999,False,False
p1,2023-07-07,9.301138854,50.47515030199999,False,False
p1,2023-07-08,6.594714508,43.880435793999986,False,True
p1,2023-07-08,6.594714508,37.28572128599998,False,True
p1,2023-07-08,6.594714508,30.691006777999984,False,True
p1,2023-07-09,8.452356208,22.238650569999983,False,True
p1,2023-07-09,8.452356208,13.786294361999984,False,True
p1,2023-07-09,8.452356208,5.333938153999984,False,True
p1,2023-07-10,7.87508064,0.0,True,True
p1,2023-07-10,7.87508064,0.0,True,True
p1,2023-07-10,7.87508064,0.0,True,True
p1,2023-07-11,8.724577453,0.0,True,True
p1,2023-07-11,8.724577453,0.0,True,True
p1,2023-07-11,8.724577453,0.0,True,True
p1,2023-07-12,8.684756534,0.0,True,True
p1,2023-07-12,8.684756534,0.0,True,True
p1,2023-07-12,8.684756534,0.0,True,True
p1,2023-07-13,8.569337534,75.119564206,True,False
p1,2023-07-13,8.569337534,66.55022667200001,False,False
p1,2023-07-13,8.569337534,57.98088913800001,False,False
p1,2023-07-14,9.223666278,48.75722286000001,False,False
p1,2023-07-14,9.223666278,39.53355658200002,False,True
p1,2023-07-14,9.223666278,30.309890304000017,False,True
p1,2023-07-15,6.517241932,23.792648372000016,False,True
p1,2023-07-15,6.517241932,17.275406440000015,False,True
p1,2023-07-15,6.517241932,10.758164508000014,False,True
p1,2023-07-16,8.374883632,2.383280876000015,False,True
p1,2023-07-16,8.374883632,0.0,True,True
p1,2023-07-16,8.374883632,0.0,True,True
p1,2023-07-17,7.797608064,0.0,True,True
p1,2023-07-17,7.797608064,0.0,True,True
p1,2023-07-17,7.797608064,0.0,True,True
p1,2023-07-18,8.647104877,0.0,True,True
p1,2023-07-18,8.647104877,0.0,True,True
p1,2023-07-18,8.647104877,0.0,True,True
p1,2023-07-19,8.607283958,79.46644341799998,True,False
p1,2023-07-19,8.607283958,70.85915945999999,False,False
p1,2023-07-19,8.607283958,62.25187550199999,False,False
p1,2023-07-20,8.491864958,53.76001054399999,False,False
p1,2023-07-20,8.491864958,45.26814558599999,False,True
p1,2023-07-20,8.491864958,36.77628062799999,False,True
p1,2023-07-21,9.146193702,27.63008692599999,False,True
